  
Maria;12345678910;19801020;3500
Mario;45678912345;20180217;FILHO

João;89565432115;19850518;2600
Jobson;45678912845;20100217;FILHO
Tobias;45678972345;20150217;FILHO

Sérgio;98765432114;19950610;3300
Weber;45678912885;20170217;OUTROS
Suleide;45678952345;20110217;SOBRINHO

Ana;98765478114;19930610;4300
Mathias;45877234587;20170217;FILHO

Raquel;98732158114;19870610;9000
Feliz;45987534587;20140217;FILHO

Jorge;89525682115;19860518;1384
Wescley;45987472845;20100217;FILHO
Wesclerson;45678456345;20150217;FILHO
Wesclow;12348972345;20150217;FILHO

José;14785432115;19890518;6500
Joana;45996322845;20100210;FILHO
Eric;14858456345;20150211;FILHO

Marcos;20565432115;19900518;2630
Mariana;65426322845;20100219;FILHO

Marcela;75465432115;19920518;438
Kleidilelson;21476322845;20150210;FILHO
Luaziana;14896586345;20180211;FILHO

Geraldo;32505432115;19800518;4300
Roberta;75646322845;20120219;FILHO
